EID	chrom	start	end	state
E029	chr11	66024400	66024800	12_EnhBiv
E030	chr11	66022200	66024600	13_ReprPC
E030	chr11	66024600	66024800	12_EnhBiv
E032	chr11	66024200	66024800	2_TssAFlnk
E034	chr11	66024200	66025000	2_TssAFlnk
E035	chr11	66024400	66025000	2_TssAFlnk
E046	chr11	66024400	66025000	2_TssAFlnk
E047	chr11	66024200	66024600	2_TssAFlnk
E047	chr11	66024600	66026000	1_TssA
E053	chr11	66024400	66025000	2_TssAFlnk
E054	chr11	66024200	66026000	1_TssA
E055	chr11	66024400	66025000	2_TssAFlnk
E056	chr11	66024200	66024600	2_TssAFlnk
E056	chr11	66024600	66024800	1_TssA
E062	chr11	66024400	66024800	11_BivFlnk
E073	chr11	66024200	66024800	2_TssAFlnk
E081	chr11	66024200	66025000	2_TssAFlnk
E116	chr11	66024000	66024600	2_TssAFlnk
E116	chr11	66024600	66024800	1_TssA
E124	chr11	66024400	66024600	12_EnhBiv
E124	chr11	66024600	66026400	11_BivFlnk
